"title","author","group","slug"
"The Blade Itself","Joe Abercrombie","JLPPBC","the-blade-itself"
"Before They Are Hanged","Joe Abercrombie","JLPPBC","before-they-are-hanged"
"Last Argument of Kings","Joe Abercrombie","JLPPBC","last-argument-of-kings"
"The Magicians","Lev Grossman","JLPPBC","the-magicians"
"The Magician King","Lev Grossman","JLPPBC","the-magician-king"
"The Magician's Land","Lev Grossman","JLPPBC","the-magicians-land"
"The Three-Body Probem","Cixin Liu","JLPPBC","the-three-body-probem"
"The Dark Forest","Cixin Liu","JLPPBC","the-dark-forest"
"Death's End","Cixin Liu","JLPPBC","deaths-end"
"Artemis","Andy Weir","JLPPBC","artemis"
"Titus Groan","Mervyn Peake","JLPPBC","titus-groan"
"The Terror","Dan Simmons","JLPPBC","the-terror"
"City of Thieves","David Benioff","NBGMSP","city-of-thieves"
"The Breach","Patrick Lee","JLPPBC","the-breach"
"Ghost Country","Patrick Lee","JLPPBC","ghost-country"
"Deep Sky","Patrick Lee","JLPPBC","deep-sky"
"Shogun","James Clavell","NBGMSP","shogun"
"American Gods","Neil Gaiman","NBGMSP","american-gods"
"The Yiddish Policeman's Union","Michael Chabon","JLPPBC","the-yiddish-policemans-union"
"The Amazing Adventures of Kavalier and Clay","Michael Chabon","JLPPBC","the-amazing-adventures-of-kavalier-and-clay"
"Assassin's Apprentice","Robin Hobb","JLPPBC","assassins-apprentice"
"Royal Assassin","Robin Hobb","JLPPBC","royal-assassin"
"Assassin's Quest","Robin Hobb","JLPPBC","assassins-quest"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Potter","harry-potter-and-the-sorcerers-stone"
"Harry Potter and the Chamber of Secrets","J.K. Rowling","Potter","harry-potter-and-the-chamber-of-secrets"
"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","Potter","harry-potter-and-the-prisoner-of-azkaban"
"Harry Potter and the Goblet of Fire","J.K. Rowling","Potter","harry-potter-and-the-goblet-of-fire"
"Harry Potter and the Order of the Phoenix","J.K. Rowling","Potter","harry-potter-and-the-order-of-the-phoenix"
"Harry Potter and the Half Blood Prince","J.K. Rowling","Potter","harry-potter-and-the-half-blood-prince"
"Harry Potter and the Deathly Hallows","J.K. Rowling","Potter","harry-potter-and-the-deathly-hallows"
"A Divided Spy","Charles Cumming","JLPPBC","a-divided-spy"
"Red Rising","Pierce Brown","JLPPBC","red-rising"
"Golden Son","Pierce Brown","JLPPBC","golden-son"
"Morning Star","Pierce Brown","JLPPBC","morning-star"
"Iron Gold","Pierce Brown","JLPPBC","iron-gold"
"Dark Age","Pierce Brown","JLPPBC","dark-age"
"Gorky Park","Martin Cruz Smith","JLPPBC","gorky-park"
"The Ruin of Kings","Jenn Lyons","JLPPBC","the-ruin-of-kings"
"Dune","Frank Herbert","JLPPBC","dune"
"The Cuckoo's Calling","Robert Galbraith","JLPPBC","the-cuckoos-calling"
"The Silkworm","Robert Galbraith","JLPPBC","the-silkworm"
"Career of Evil","Robert Galbraith","JLPPBC","career-of-evil"
"Lethal White","Robert Galbraith","JLPPBC","lethal-white"
"Troubled Blood","Robert Galbraith","JLPPBC","troubled-blood"
"The Ink Black Heart","Robert Galbraith","JLPPBC","the-ink-black-heart"
"Leviathan Wakes","James S.A. Corey","JLPPBC","leviathan-wakes"
"Recursion","Blake Crouch","JLPPBC","recursion"
"Moonglow","Michael Chabon","NBGMSP","moonglow"
"The Second Sleep","Robert Harris","JLPPBC","the-second-sleep"
"Lonesome Dove","Larry McMurty","NBGMSP","lonesome-dove"
"Streets of Laredo","Larry McMurty","NBGMSP","streets-of-laredo"
"Dead Man's Walk","Larry McMurty","NBGMSP","dead-mans-walk"
"Comanche Moon","Larry McMurty","NBGMSP","comanche-moon"
"Foundation","Isaac Asimov","JLPPBC","foundation"
"Station Eleven","Emily St. John Mandel","NBGMSP","station-eleven"
"Hail Mary","Andy Weir","JLPPBC","hail-mary"
"The Eye of the World","Robert Jordan","JLPPBC","the-eye-of-the-world"
"The Great Hunt","Robert Jordan","JLPPBC","the-great-hunt"
"The Dragon Reborn","Robert Jordan","JLPPBC","the-dragon-reborn"
"The Remains of the Day","Kazuo Ishiguro","JLPPBC","the-remains-of-the-day"
"The Lincoln Highway","Amor Towles","NBGMSP","the-lincoln-highway"
"The Builders","Daniel Polansky","JLPPBC","the-builders"
"Never Let me Go","Kazuo Ishiguro","NBGMSP","never-let-me-go"
"Klara and the Sun","Kazuo Ishiguor","NBGMSP","klara-and-the-sun"
"Hyperion","Dan Simmons","JLPPBC","hyperion"
"Replay","Ken Grimwood","JLPPBC","replay"
"The Peacemaker's Code","Deepak Mahotra","JLPPBC","the-peacemakers-code"
"Neverwhere","Neil Gaiman","JLPPBC","neverwhere"
"The Name of the Wind","Patrick Rothfuss","NBGMSP","the-name-of-the-wind"
"The Wise Man's Fear","Patrick Rothfuss","NBGMSP","the-wise-mans-fear"
"Gideon the Ninth","Tamsyn Muir","EDU","gideon-the-ninth"
"The Fifth Season","N.K. Jemisin","EDU","the-fifth-season"
"Saga: Compendium One","Brian K. Vaughn","JLPPBC","saga-compendium-one"
