"title","author","rating","user","group","slug"
"A Divided Spy","Charles Cumming",6.7,"S","JLPPBC","a-divided-spy"
"A Divided Spy","Charles Cumming",1,"J","JLPPBC","a-divided-spy"
"A Divided Spy","Charles Cumming",0.5,"P","JLPPBC","a-divided-spy"
"A Divided Spy","Charles Cumming",5,"C","JLPPBC","a-divided-spy"
"A Divided Spy","Charles Cumming",7.6,"D","JLPPBC","a-divided-spy"
"American Gods","Neil Gaiman",8.1,"S","NBGMSP","american-gods"
"American Gods","Neil Gaiman",6.5,"C","NBGMSP","american-gods"
"Artemis","Andy Weir",3.9,"S","JLPPBC","artemis"
"Artemis","Andy Weir",0,"P","JLPPBC","artemis"
"Artemis","Andy Weir",5,"C","JLPPBC","artemis"
"Artemis","Andy Weir",4.2,"D","JLPPBC","artemis"
"Assassin's Apprentice","Robin Hobb",7.5,"S","JLPPBC","assassins-apprentice"
"Assassin's Apprentice","Robin Hobb",8.1,"J","JLPPBC","assassins-apprentice"
"Assassin's Apprentice","Robin Hobb",7.9,"C","JLPPBC","assassins-apprentice"
"Assassin's Apprentice","Robin Hobb",8.8,"D","JLPPBC","assassins-apprentice"
"Assassin's Quest","Robin Hobb",7.6,"S","JLPPBC","assassins-quest"
"Assassin's Quest","Robin Hobb",7.9,"J","JLPPBC","assassins-quest"
"Assassin's Quest","Robin Hobb",8.3,"C","JLPPBC","assassins-quest"
"Assassin's Quest","Robin Hobb",8.9,"D","JLPPBC","assassins-quest"
"Before They Are Hanged","Joe Abercrombie",6.1,"S","JLPPBC","before-they-are-hanged"
"Before They Are Hanged","Joe Abercrombie",7,"P","JLPPBC","before-they-are-hanged"
"Before They Are Hanged","Joe Abercrombie",6.8,"C","JLPPBC","before-they-are-hanged"
"Before They Are Hanged","Joe Abercrombie",7.4,"D","JLPPBC","before-they-are-hanged"
"Career of Evil","Robert Galbraith",7,"S","JLPPBC","career-of-evil"
"Career of Evil","Robert Galbraith",7.2,"J","JLPPBC","career-of-evil"
"Career of Evil","Robert Galbraith",9,"P","JLPPBC","career-of-evil"
"Career of Evil","Robert Galbraith",7,"C","JLPPBC","career-of-evil"
"Career of Evil","Robert Galbraith",7.4,"D","JLPPBC","career-of-evil"
"City of Thieves","David Benioff",7.1,"S","NBGMSP","city-of-thieves"
"City of Thieves","David Benioff",6.5,"C","NBGMSP","city-of-thieves"
"Comanche Moon","Larry McMurty",8.5,"S","NBGMSP","comanche-moon"
"Comanche Moon","Larry McMurty",8.6,"J","NBGMSP","comanche-moon"
"Dark Age","Pierce Brown",7.4,"S","JLPPBC","dark-age"
"Dark Age","Pierce Brown",6.9,"J","JLPPBC","dark-age"
"Dark Age","Pierce Brown",6.25,"P","JLPPBC","dark-age"
"Dark Age","Pierce Brown",9.5,"C","JLPPBC","dark-age"
"Dark Age","Pierce Brown",9,"D","JLPPBC","dark-age"
"Dead Man's Walk","Larry McMurty",7.9,"S","NBGMSP","dead-mans-walk"
"Dead Man's Walk","Larry McMurty",8.2,"J","NBGMSP","dead-mans-walk"
"Death's End","Cixin Liu",8.6,"S","JLPPBC","deaths-end"
"Death's End","Cixin Liu",6.5,"C","JLPPBC","deaths-end"
"Death's End","Cixin Liu",7.8,"D","JLPPBC","deaths-end"
"Deep Sky","Patrick Lee",6.6,"S","JLPPBC","deep-sky"
"Deep Sky","Patrick Lee",6,"P","JLPPBC","deep-sky"
"Deep Sky","Patrick Lee",6.5,"C","JLPPBC","deep-sky"
"Deep Sky","Patrick Lee",8,"D","JLPPBC","deep-sky"
"Dune","Frank Herbert",7.8,"S","JLPPBC","dune"
"Dune","Frank Herbert",6.9,"J","JLPPBC","dune"
"Dune","Frank Herbert",9.75,"P","JLPPBC","dune"
"Dune","Frank Herbert",6.7,"C","JLPPBC","dune"
"Dune","Frank Herbert",8.1,"D","JLPPBC","dune"
"Foundation","Isaac Asimov",7.1,"S","JLPPBC","foundation"
