Title,Author,Rating
The Blade Itself,Joe Abercrombie,7
Before They Are Hanged,Joe Abercrombie,6.8
Last Argument of Kings,Joe Abercrombie,6.8
The Magicians,Lev Grossman,8.1
The Magician King,Lev Grossman,7.1
The Magician's Land,Lev Grossman,6.5
The Three-Body Probem,Cixin Liu,7
The Dark Forest,Cixin Liu,6.5
Death's End,Cixin Liu,6.5
Artemis,Andy Weir,5
Titus Groan,Mervyn Peake,5
The Terror,Dan Simmons,4.5
City of Thieves,David Benioff,6.5
The Breach,Patrick Lee,7.2
Ghost Country,Patrick Lee,6.9
Deep Sky,Patrick Lee,6.5
Shogun,James Clavell,
American Gods,Neil Gaiman,6.5
The Yiddish Policeman's Union,Michael Chabon,6.5
The Amazing Adventures of Kavalier and Clay,Michael Chabon,9
Assassin's Apprentice,Robin Hobb,7.9
Royal Assassin,Robin Hobb,8.2
Assassin's Quest,Robin Hobb,8.3
Harry Potter and the Sorcerer's Stone,J.K. Rowling,10
Harry Potter and the Chamber of Secrets,J.K. Rowling,10
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,10
Harry Potter and the Goblet of Fire,J.K. Rowling,10
Harry Potter and the Order of the Phoenix,J.K. Rowling,10
Harry Potter and the Half Blood Prince,J.K. Rowling,10
Harry Potter and the Deathly Hallows,J.K. Rowling,10
A Divided Spy,Charles Cumming,5
Red Rising,Pierce Brown,9.5
Golden Son,Pierce Brown,9.5
Morning Star,Pierce Brown,9.5
Iron Gold,Pierce Brown,9
Dark Age,Pierce Brown,9.5
Gorky Park,Martin Cruz Smith,5
The Ruin of Kings,Jenn Lyons,4.5
Dune,Frank Herbert,6.7
The Cuckoo's Calling,Robert Galbraith,8
The Silkworm,Robert Galbraith,8
Career of Evil,Robert Galbraith,7
Lethal White,Robert Galbraith,5.5
Troubled Blood,Robert Galbraith,6
The Ink Black Heart,Robert Galbraith,8
Leviathan Wakes,James S.A. Corey,5
Recursion,Blake Crouch,8.3
Moonglow,Michael Chabon,6
The Second Sleep,Robert Harris,6.2
Lonesome Dove,Larry McMurty,9.2
Streets of Laredo,Larry McMurty,
Dead Man's Walk,Larry McMurty,
Comanche Moon,Larry McMurty,
Foundation,Isaac Asimov,5
Station Eleven,Emily St. John Mandel,7
Hail Mary,Andy Weir,7.5
The Eye of the World,Robert Jordan,
The Great Hunt,Robert Jordan,
The Dragon Reborn,Robert Jordan,
The Remains of the Day,Kazuo Ishiguro,
The Lincoln Highway,Amor Towles,
The Builders,Daniel Polansky,6
Never Let me Go,Kazuo Ishiguro,8.5
Klara and the Sun,Kazuo Ishiguor,7.5
Hyperion,Dan Simmons,
Replay,Ken Grimwood,7.5
The Peacemaker's Code,Deepak Mahotra,3
Neverwhere,Neil Gaiman,8.7
The Name of the Wind,Patrick Rothfuss,9.2
The Wise Man's Fear,Patrick Rothfuss,9.1
Gideon the Ninth,Tamsyn Muir,6.3
The Fifth Season,N.K. Jemisin,6.5
Saga: Compendium One,Brian K. Vaughn,7.2
