Title,Author,Rating
The Amazing Adventures of Kavalier and Clay,Michael Chabon,9.4
Assassin's Apprentice,Robin Hobb,8.1
Royal Assassin,Robin Hobb,7.5
Assassin's Quest,Robin Hobb,7.9
Harry Potter and the Sorcerer's Stone,J.K. Rowling,10
Harry Potter and the Chamber of Secrets,J.K. Rowling,9.7
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,9.9
Harry Potter and the Goblet of Fire,J.K. Rowling,9.9
Harry Potter and the Order of the Phoenix,J.K. Rowling,9.8
Harry Potter and the Half Blood Prince,J.K. Rowling,10
Harry Potter and the Deathly Hallows,J.K. Rowling,10
A Divided Spy,Charles Cumming,1
Red Rising,Pierce Brown,8.6
Golden Son,Pierce Brown,8.5
Morning Star,Pierce Brown,8.5
Iron Gold,Pierce Brown,6.9
Dark Age,Pierce Brown,6.9
Gorky Park,Martin Cruz Smith,5.9
The Ruin of Kings,Jenn Lyons,1
Dune,Frank Herbert,6.9
The Cuckoo's Calling,Robert Galbraith,7.7
The Silkworm,Robert Galbraith,7.5
Career of Evil,Robert Galbraith,7.2
Lethal White,Robert Galbraith,5.9
Troubled Blood,Robert Galbraith,5.9
The Ink Black Heart,Robert Galbraith,6.8
Leviathan Wakes,James S.A. Corey,6.1
Recursion,Blake Crouch,5.8
Moonglow,Michael Chabon,6.8
The Second Sleep,Robert Harris,5.5
Lonesome Dove,Larry McMurty,9.7
Streets of Laredo,Larry McMurty,8.2
Dead Man's Walk,Larry McMurty,8.2
Comanche Moon,Larry McMurty,8.6
Foundation,Isaac Asimov,7
Station Eleven,Emily St. John Mandel,7.6
Hail Mary,Andy Weir,5.9
The Eye of the World,Robert Jordan,8.3
The Great Hunt,Robert Jordan,7.9
The Dragon Reborn,Robert Jordan,7.8
The Remains of the Day,Kazuo Ishiguro,9.1
The Lincoln Highway,Amor Towles,8.1
The Builders,Daniel Polansky,
Never Let me Go,Kazuo Ishiguro,8
Klara and the Sun,Kazuo Ishiguor,7.9
Hyperion,Dan Simmons,8.9
Replay,Ken Grimwood,7.8
The Peacemaker's Code,Deepak Mahotra,0
Neverwhere,Neil Gaiman,8.2
