Title,Author,Rating
The Blade Itself,Joe Abercrombie,6.4
Before They Are Hanged,Joe Abercrombie,6.1
Last Argument of Kings,Joe Abercrombie,5.9
The Magicians,Lev Grossman,6.4
The Magician King,Lev Grossman,6.3
The Magician's Land,Lev Grossman,6.3
The Three-Body Probem,Cixin Liu,7.3
The Dark Forest,Cixin Liu,8
Death's End,Cixin Liu,8.2
Artemis,Andy Weir,3.9
Titus Groan,Mervyn Peake,
The Terror,Dan Simmons,
City of Thieves,David Benioff,7.1
The Breach,Patrick Lee,6.8
Ghost Country,Patrick Lee,6.8
Deep Sky,Patrick Lee,6.6
Shogun,James Clavell,7.9
American Gods,Neil Gaiman,8.1
The Yiddish Policeman's Union,Michael Chabon,7.7
The Amazing Adventures of Kavalier and Clay,Michael Chabon,9.2
Assassin's Apprentice,Robin Hobb,7.5
Royal Assassin,Robin Hobb,7.6
Assassin's Quest,Robin Hobb,7.6
Harry Potter and the Sorcerer's Stone,J.K. Rowling,8
Harry Potter and the Chamber of Secrets,J.K. Rowling,8.2
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,9
Harry Potter and the Goblet of Fire,J.K. Rowling,9.3
Harry Potter and the Order of the Phoenix,J.K. Rowling,8.4
Harry Potter and the Half Blood Prince,J.K. Rowling,9.2
Harry Potter and the Deathly Hallows,J.K. Rowling,8.9
A Divided Spy,Charles Cumming,6.7
Red Rising,Pierce Brown,8.4
Golden Son,Pierce Brown,8.2
Morning Star,Pierce Brown,7.9
Iron Gold,Pierce Brown,7.4
Dark Age,Pierce Brown,7.4
Gorky Park,Martin Cruz Smith,5.4
The Ruin of Kings,Jenn Lyons,4.1
Dune,Frank Herbert,7.8
The Cuckoo's Calling,Robert Galbraith,8.2
The Silkworm,Robert Galbraith,7.9
Career of Evil,Robert Galbraith,7
Lethal White,Robert Galbraith,3.2
Troubled Blood,Robert Galbraith,5.1
The Ink Black Heart,Robert Galbraith,5.9
Leviathan Wakes,James S.A. Corey,6.4
Recursion,Blake Crouch,5.5
Moonglow,Michael Chabon,7.8
The Second Sleep,Robert Harris,6.2
Lonesome Dove,Larry McMurty,9.3
Streets of Laredo,Larry McMurty,8.2
Dead Man's Walk,Larry McMurty,7.9
Comanche Moon,Larry McMurty,8.5
Foundation,Isaac Asimov,7.1
Station Eleven,Emily St. John Mandel,8.1
Hail Mary,Andy Weir,6.5
The Eye of the World,Robert Jordan,7.6
The Great Hunt,Robert Jordan,7.8
The Dragon Reborn,Robert Jordan,7.2
The Remains of the Day,Kazuo Ishiguro,9
The Lincoln Highway,Amor Towles,8.2
The Builders,Daniel Polansky,7.4
Never Let me Go,Kazuo Ishiguro,8.6
Klara and the Sun,Kazuo Ishiguor,8.2
Hyperion,Dan Simmons,8.9
Replay,Ken Grimwood,7.8
The Peacemaker's Code,Deepak Mahotra,2
Neverwhere,Neil Gaiman,7.9
